gene_ID_or_name,ref,chr,Ensemble_transcript_strand,coordinate,type
ENSDART00000168583,ensembl_GRCz11_latest,19,-1,33850031,end_of_ATG
ENSDART00000168583,ensembl_GRCz11_latest,19,-1,33836750,start_of_STOP
ENSDART00000057528,ensembl_GRCz11_latest,13,1,29926224,end_of_ATG
ENSDART00000057528,ensembl_GRCz11_latest,13,1,29935355,start_of_STOP
ENSDART00000171183,ensembl_GRCz11_latest,11,-1,18604423,end_of_ATG
ENSDART00000171183,ensembl_GRCz11_latest,11,-1,18562648,start_of_STOP
ENSDART00000190331,ensembl_GRCz11_latest,10,1,44581849,end_of_ATG
ENSDART00000190331,ensembl_GRCz11_latest,10,1,44669273,start_of_STOP
ENSDART00000137572,ensembl_GRCz11_latest,13,1,281396,end_of_ATG
ENSDART00000137572,ensembl_GRCz11_latest,13,1,284878,start_of_STOP
ENSDART00000186814,ensembl_GRCz11_latest,24,-1,25363420,end_of_ATG
ENSDART00000186814,ensembl_GRCz11_latest,24,-1,25351916,start_of_STOP
ENSDART00000166819,ensembl_GRCz11_latest,1,1,27977467,end_of_ATG
ENSDART00000166819,ensembl_GRCz11_latest,1,1,28018746,start_of_STOP
ENSDART00000159007,ensembl_GRCz11_latest,12,-1,4435299,end_of_ATG
ENSDART00000159007,ensembl_GRCz11_latest,12,-1,4396310,start_of_STOP
ENSDART00000066621,ensembl_GRCz11_latest,21,-1,1625922,end_of_ATG
ENSDART00000066621,ensembl_GRCz11_latest,21,-1,1618709,start_of_STOP
ENSDART00000141835,ensembl_GRCz11_latest,18,1,27796433,end_of_ATG
ENSDART00000141835,ensembl_GRCz11_latest,18,1,27812384,start_of_STOP
ENSDART00000111374,ensembl_GRCz11_latest,11,1,5842697,end_of_ATG
ENSDART00000111374,ensembl_GRCz11_latest,11,1,5852482,start_of_STOP
ENSDART00000066086,ensembl_GRCz11_latest,23,1,2728285,end_of_ATG
ENSDART00000066086,ensembl_GRCz11_latest,23,1,2745778,start_of_STOP
ENSDART00000159787,ensembl_GRCz11_latest,3,-1,20956903,end_of_ATG
ENSDART00000159787,ensembl_GRCz11_latest,3,-1,20950531,start_of_STOP
ENSDART00000079596,ensembl_GRCz11_latest,2,-1,44182042,end_of_ATG
ENSDART00000079596,ensembl_GRCz11_latest,2,-1,44049189,start_of_STOP
ENSDART00000058777,ensembl_GRCz11_latest,20,1,2669046,end_of_ATG
ENSDART00000058777,ensembl_GRCz11_latest,20,1,2679524,start_of_STOP
ENSDART00000131113,ensembl_GRCz11_latest,7,1,72882448,end_of_ATG
ENSDART00000131113,ensembl_GRCz11_latest,7,1,73085120,start_of_STOP
ENSDART00000021139,ensembl_GRCz11_latest,4,1,1725134,end_of_ATG
ENSDART00000021139,ensembl_GRCz11_latest,4,1,1730111,start_of_STOP
ENSDART00000152224,ensembl_GRCz11_latest,7,1,761244,end_of_ATG
ENSDART00000152224,ensembl_GRCz11_latest,7,1,762208,start_of_STOP
ENSDART00000156352,ensembl_GRCz11_latest,15,-1,16176296,end_of_ATG
ENSDART00000156352,ensembl_GRCz11_latest,15,-1,16124062,start_of_STOP
ENSDART00000027957,ensembl_GRCz11_latest,17,-1,24866660,end_of_ATG
ENSDART00000027957,ensembl_GRCz11_latest,17,-1,24856600,start_of_STOP
ENSDART00000022042,ensembl_GRCz11_latest,23,-1,27336325,end_of_ATG
ENSDART00000022042,ensembl_GRCz11_latest,23,-1,27252307,start_of_STOP
ENSDART00000030566,ensembl_GRCz11_latest,12,-1,33805138,end_of_ATG
ENSDART00000030566,ensembl_GRCz11_latest,12,-1,33790244,start_of_STOP
ENSDART00000041549,ensembl_GRCz11_latest,6,1,52247995,end_of_ATG
ENSDART00000041549,ensembl_GRCz11_latest,6,1,52253234,start_of_STOP
ENSDART00000130984,ensembl_GRCz11_latest,19,-1,33835342,end_of_ATG
ENSDART00000130984,ensembl_GRCz11_latest,19,-1,33828979,start_of_STOP
ENSDART00000110923,ensembl_GRCz11_latest,21,-1,25522508,end_of_ATG
ENSDART00000110923,ensembl_GRCz11_latest,21,-1,25426030,start_of_STOP
ENSDART00000083665,ensembl_GRCz11_latest,5,1,41774368,end_of_ATG
ENSDART00000083665,ensembl_GRCz11_latest,5,1,41792670,start_of_STOP
ENSDART00000136243,ensembl_GRCz11_latest,3,1,18447606,end_of_ATG
ENSDART00000136243,ensembl_GRCz11_latest,3,1,18498369,start_of_STOP
ENSDART00000054472,ensembl_GRCz11_latest,1,-1,20824356,end_of_ATG
ENSDART00000054472,ensembl_GRCz11_latest,1,-1,20734199,start_of_STOP
ENSDART00000143300,ensembl_GRCz11_latest,7,1,37742379,end_of_ATG
ENSDART00000143300,ensembl_GRCz11_latest,7,1,37755232,start_of_STOP
ENSDART00000157155,ensembl_GRCz11_latest,2,1,11946557,end_of_ATG
ENSDART00000157155,ensembl_GRCz11_latest,2,1,12002252,start_of_STOP
ENSDART00000150764,ensembl_GRCz11_latest,4,-1,11106647,end_of_ATG
ENSDART00000150764,ensembl_GRCz11_latest,4,-1,11099194,start_of_STOP
ENSDART00000101923,ensembl_GRCz11_latest,9,-1,22099433,end_of_ATG
ENSDART00000101923,ensembl_GRCz11_latest,9,-1,22098723,start_of_STOP
ENSDART00000149260,ensembl_GRCz11_latest,16,-1,7239302,end_of_ATG
ENSDART00000149260,ensembl_GRCz11_latest,16,-1,7217434,start_of_STOP
ENSDART00000105666,ensembl_GRCz11_latest,24,-1,38131379,end_of_ATG
ENSDART00000105666,ensembl_GRCz11_latest,24,-1,38130606,start_of_STOP
ENSDART00000137135,ensembl_GRCz11_latest,20,1,812335,end_of_ATG
ENSDART00000137135,ensembl_GRCz11_latest,20,1,823130,start_of_STOP
ENSDART00000112071,ensembl_GRCz11_latest,4,1,40835442,end_of_ATG
ENSDART00000112071,ensembl_GRCz11_latest,4,1,40839166,start_of_STOP
ENSDART00000148358,ensembl_GRCz11_latest,8,-1,43847136,end_of_ATG
ENSDART00000148358,ensembl_GRCz11_latest,8,-1,43816910,start_of_STOP
ENSDART00000145368,ensembl_GRCz11_latest,16,1,5202357,end_of_ATG
ENSDART00000145368,ensembl_GRCz11_latest,16,1,5230609,start_of_STOP
ENSDART00000124938,ensembl_GRCz11_latest,24,-1,33291708,end_of_ATG
ENSDART00000124938,ensembl_GRCz11_latest,24,-1,33289057,start_of_STOP
ENSDART00000152812,ensembl_GRCz11_latest,1,1,56972918,end_of_ATG
ENSDART00000152812,ensembl_GRCz11_latest,1,1,56981519,start_of_STOP
ENSDART00000156685,ensembl_GRCz11_latest,16,1,5187462,end_of_ATG
ENSDART00000156685,ensembl_GRCz11_latest,16,1,5199331,start_of_STOP
ENSDART00000150005,ensembl_GRCz11_latest,16,-1,7214357,end_of_ATG
ENSDART00000150005,ensembl_GRCz11_latest,16,-1,7202654,start_of_STOP
ENSDART00000169613,ensembl_GRCz11_latest,21,1,6034785,end_of_ATG
ENSDART00000169613,ensembl_GRCz11_latest,21,1,6102391,start_of_STOP
ENSDART00000110696,ensembl_GRCz11_latest,1,-1,7582773,end_of_ATG
ENSDART00000110696,ensembl_GRCz11_latest,1,-1,7574449,start_of_STOP
ENSDART00000156765,ensembl_GRCz11_latest,16,1,5187462,end_of_ATG
ENSDART00000156765,ensembl_GRCz11_latest,16,1,5199331,start_of_STOP
ENSDART00000152011,ensembl_GRCz11_latest,25,-1,21715982,end_of_ATG
ENSDART00000152011,ensembl_GRCz11_latest,25,-1,21528617,start_of_STOP
ENSDART00000171527,ensembl_GRCz11_latest,2,1,38554262,end_of_ATG
ENSDART00000171527,ensembl_GRCz11_latest,2,1,38709081,start_of_STOP
ENSDART00000158444,ensembl_GRCz11_latest,4,-1,30421666,end_of_ATG
ENSDART00000158444,ensembl_GRCz11_latest,4,-1,30409753,start_of_STOP
ENSDART00000137552,ensembl_GRCz11_latest,15,-1,8319986,end_of_ATG
ENSDART00000137552,ensembl_GRCz11_latest,15,-1,8316227,start_of_STOP
ENSDART00000021177,ensembl_GRCz11_latest,17,1,23926934,end_of_ATG
ENSDART00000021177,ensembl_GRCz11_latest,17,1,23933942,start_of_STOP
ENSDART00000167748,ensembl_GRCz11_latest,22,-1,4644482,end_of_ATG
ENSDART00000167748,ensembl_GRCz11_latest,22,-1,4524369,start_of_STOP
ENSDART00000048046,ensembl_GRCz11_latest,24,-1,36316003,end_of_ATG
ENSDART00000048046,ensembl_GRCz11_latest,24,-1,36304925,start_of_STOP
ENSDART00000171017,ensembl_GRCz11_latest,22,1,1123112,end_of_ATG
ENSDART00000171017,ensembl_GRCz11_latest,22,1,1127792,start_of_STOP
ENSDART00000129776,ensembl_GRCz11_latest,18,-1,19004245,end_of_ATG
ENSDART00000129776,ensembl_GRCz11_latest,18,-1,18995850,start_of_STOP
ENSDART00000073663,ensembl_GRCz11_latest,5,1,69856264,end_of_ATG
ENSDART00000073663,ensembl_GRCz11_latest,5,1,69865551,start_of_STOP
ENSDART00000145012,ensembl_GRCz11_latest,1,-1,25911290,end_of_ATG
ENSDART00000145012,ensembl_GRCz11_latest,1,-1,25886439,start_of_STOP
ENSDART00000148872,ensembl_GRCz11_latest,8,1,24747916,end_of_ATG
ENSDART00000148872,ensembl_GRCz11_latest,8,1,24778348,start_of_STOP
ENSDART00000137505,ensembl_GRCz11_latest,19,-1,9472349,end_of_ATG
ENSDART00000137505,ensembl_GRCz11_latest,19,-1,9461874,start_of_STOP
ENSDART00000086984,ensembl_GRCz11_latest,12,-1,16380240,end_of_ATG
ENSDART00000086984,ensembl_GRCz11_latest,12,-1,16333015,start_of_STOP
ENSDART00000124159,ensembl_GRCz11_latest,14,1,36889963,end_of_ATG
ENSDART00000124159,ensembl_GRCz11_latest,14,1,36893043,start_of_STOP
ENSDART00000099690,ensembl_GRCz11_latest,2,-1,23349059,end_of_ATG
ENSDART00000099690,ensembl_GRCz11_latest,2,-1,23296272,start_of_STOP
ENSDART00000155832,ensembl_GRCz11_latest,25,1,21519969,end_of_ATG
ENSDART00000155832,ensembl_GRCz11_latest,25,1,21522094,start_of_STOP
ENSDART00000174974,ensembl_GRCz11_latest,22,1,2364837,end_of_ATG
ENSDART00000174974,ensembl_GRCz11_latest,22,1,2368263,start_of_STOP
ENSDART00000031499,ensembl_GRCz11_latest,25,-1,15214011,end_of_ATG
ENSDART00000031499,ensembl_GRCz11_latest,25,-1,15178693,start_of_STOP
ENSDART00000065125,ensembl_GRCz11_latest,1,-1,31853543,end_of_ATG
ENSDART00000065125,ensembl_GRCz11_latest,1,-1,31809336,start_of_STOP
ENSDART00000170318,ensembl_GRCz11_latest,3,1,36424057,end_of_ATG
ENSDART00000170318,ensembl_GRCz11_latest,3,1,36425185,start_of_STOP
ENSDART00000138116,ensembl_GRCz11_latest,5,-1,33280697,end_of_ATG
ENSDART00000138116,ensembl_GRCz11_latest,5,-1,33275289,start_of_STOP
ENSDART00000153055,ensembl_GRCz11_latest,12,1,22407854,end_of_ATG
ENSDART00000153055,ensembl_GRCz11_latest,12,1,22444385,start_of_STOP
ENSDART00000139385,ensembl_GRCz11_latest,19,1,9457917,end_of_ATG
ENSDART00000139385,ensembl_GRCz11_latest,19,1,9459049,start_of_STOP
ENSDART00000164646,ensembl_GRCz11_latest,23,-1,45682134,end_of_ATG
ENSDART00000164646,ensembl_GRCz11_latest,23,-1,45668599,start_of_STOP
ENSDART00000149088,ensembl_GRCz11_latest,23,1,43875678,end_of_ATG
ENSDART00000149088,ensembl_GRCz11_latest,23,1,43928619,start_of_STOP
ENSDART00000023686,ensembl_GRCz11_latest,6,1,39280075,end_of_ATG
ENSDART00000023686,ensembl_GRCz11_latest,6,1,39285683,start_of_STOP
ENSDART00000111063,ensembl_GRCz11_latest,20,1,18210356,end_of_ATG
ENSDART00000111063,ensembl_GRCz11_latest,20,1,18255481,start_of_STOP
ENSDART00000059230,ensembl_GRCz11_latest,14,-1,4120605,end_of_ATG
ENSDART00000059230,ensembl_GRCz11_latest,14,-1,4085007,start_of_STOP
ENSDART00000152603,ensembl_GRCz11_latest,15,1,8336852,end_of_ATG
ENSDART00000152603,ensembl_GRCz11_latest,15,1,8381509,start_of_STOP
ENSDART00000158914,ensembl_GRCz11_latest,14,-1,7306453,end_of_ATG
ENSDART00000158914,ensembl_GRCz11_latest,14,-1,7306029,start_of_STOP
ENSDART00000128404,ensembl_GRCz11_latest,15,1,46329968,end_of_ATG
ENSDART00000128404,ensembl_GRCz11_latest,15,1,46335910,start_of_STOP
ENSDART00000150600,ensembl_GRCz11_latest,4,-1,11122482,end_of_ATG
ENSDART00000150600,ensembl_GRCz11_latest,4,-1,11112582,start_of_STOP
ENSDART00000131712,ensembl_GRCz11_latest,18,1,27821858,end_of_ATG
ENSDART00000131712,ensembl_GRCz11_latest,18,1,27822364,start_of_STOP
ENSDART00000082454,ensembl_GRCz11_latest,19,-1,808168,end_of_ATG
ENSDART00000082454,ensembl_GRCz11_latest,19,-1,799072,start_of_STOP
ENSDART00000027829,ensembl_GRCz11_latest,4,1,8233316,end_of_ATG
ENSDART00000027829,ensembl_GRCz11_latest,4,1,8515822,start_of_STOP
ENSDART00000079215,ensembl_GRCz11_latest,14,1,24215120,end_of_ATG
ENSDART00000079215,ensembl_GRCz11_latest,14,1,24220489,start_of_STOP
ENSDART00000127015,ensembl_GRCz11_latest,5,1,15668345,end_of_ATG
ENSDART00000127015,ensembl_GRCz11_latest,5,1,15807371,start_of_STOP
ENSDART00000036797,ensembl_GRCz11_latest,1,-1,22651961,end_of_ATG
ENSDART00000036797,ensembl_GRCz11_latest,1,-1,22648130,start_of_STOP
ENSDART00000148920,ensembl_GRCz11_latest,25,1,21716290,end_of_ATG
ENSDART00000148920,ensembl_GRCz11_latest,25,1,21743761,start_of_STOP
ENSDART00000159935,ensembl_GRCz11_latest,4,-1,30440049,end_of_ATG
ENSDART00000159935,ensembl_GRCz11_latest,4,-1,30429583,start_of_STOP
ENSDART00000155838,ensembl_GRCz11_latest,17,1,28049660,end_of_ATG
ENSDART00000155838,ensembl_GRCz11_latest,17,1,28065322,start_of_STOP
ENSDART00000049900,ensembl_GRCz11_latest,5,1,37091637,end_of_ATG
ENSDART00000049900,ensembl_GRCz11_latest,5,1,37094904,start_of_STOP
ENSDART00000077962,ensembl_GRCz11_latest,20,-1,26617517,end_of_ATG
ENSDART00000077962,ensembl_GRCz11_latest,20,-1,26572673,start_of_STOP
ENSDART00000078491,ensembl_GRCz11_latest,8,-1,27656680,end_of_ATG
ENSDART00000078491,ensembl_GRCz11_latest,8,-1,27630694,start_of_STOP
ENSDART00000126897,ensembl_GRCz11_latest,8,1,24740177,end_of_ATG
ENSDART00000126897,ensembl_GRCz11_latest,8,1,24743606,start_of_STOP
ENSDART00000055956,ensembl_GRCz11_latest,7,1,57109291,end_of_ATG
ENSDART00000055956,ensembl_GRCz11_latest,7,1,57129538,start_of_STOP
ENSDART00000167001,ensembl_GRCz11_latest,16,1,35536087,end_of_ATG
ENSDART00000167001,ensembl_GRCz11_latest,16,1,35536847,start_of_STOP
ENSDART00000066033,ensembl_GRCz11_latest,11,1,15613493,end_of_ATG
ENSDART00000066033,ensembl_GRCz11_latest,11,1,15756102,start_of_STOP
ENSDART00000134976,ensembl_GRCz11_latest,2,1,27386905,end_of_ATG
ENSDART00000134976,ensembl_GRCz11_latest,2,1,27390962,start_of_STOP
ENSDART00000089506,ensembl_GRCz11_latest,24,1,27001731,end_of_ATG
ENSDART00000089506,ensembl_GRCz11_latest,24,1,27019446,start_of_STOP
ENSDART00000159165,ensembl_GRCz11_latest,22,1,24167093,end_of_ATG
ENSDART00000159165,ensembl_GRCz11_latest,22,1,24168402,start_of_STOP
ENSDART00000031937,ensembl_GRCz11_latest,11,1,7339660,end_of_ATG
ENSDART00000031937,ensembl_GRCz11_latest,11,1,7340243,start_of_STOP
ENSDART00000099131,ensembl_GRCz11_latest,13,-1,303077,end_of_ATG
ENSDART00000099131,ensembl_GRCz11_latest,13,-1,286078,start_of_STOP
ENSDART00000084102,ensembl_GRCz11_latest,17,-1,45525823,end_of_ATG
ENSDART00000084102,ensembl_GRCz11_latest,17,-1,45502391,start_of_STOP
ENSDART00000143009,ensembl_GRCz11_latest,8,1,53081145,end_of_ATG
ENSDART00000143009,ensembl_GRCz11_latest,8,1,53096654,start_of_STOP
ENSDART00000032547,ensembl_GRCz11_latest,14,1,36885643,end_of_ATG
ENSDART00000032547,ensembl_GRCz11_latest,14,1,36886923,start_of_STOP
ENSDART00000132647,ensembl_GRCz11_latest,4,1,8376364,end_of_ATG
ENSDART00000132647,ensembl_GRCz11_latest,4,1,8515822,start_of_STOP
ENSDART00000003508,ensembl_GRCz11_latest,21,-1,27443933,end_of_ATG
ENSDART00000003508,ensembl_GRCz11_latest,21,-1,27438109,start_of_STOP
ENSDART00000133300,ensembl_GRCz11_latest,8,-1,33134027,end_of_ATG
ENSDART00000133300,ensembl_GRCz11_latest,8,-1,33132505,start_of_STOP
ENSDART00000138179,ensembl_GRCz11_latest,2,1,45643124,end_of_ATG
ENSDART00000138179,ensembl_GRCz11_latest,2,1,45652373,start_of_STOP
ENSDART00000101216,ensembl_GRCz11_latest,18,1,7073132,end_of_ATG
ENSDART00000101216,ensembl_GRCz11_latest,18,1,7088380,start_of_STOP
ENSDART00000037553,ensembl_GRCz11_latest,1,1,40237337,end_of_ATG
ENSDART00000037553,ensembl_GRCz11_latest,1,1,40257734,start_of_STOP
ENSDART00000006300,ensembl_GRCz11_latest,18,1,18982218,end_of_ATG
ENSDART00000006300,ensembl_GRCz11_latest,18,1,18994806,start_of_STOP
ENSDART00000189926,ensembl_GRCz11_latest,7,-1,818221,end_of_ATG
ENSDART00000189926,ensembl_GRCz11_latest,7,-1,809980,start_of_STOP
ENSDART00000101916,ensembl_GRCz11_latest,9,-1,22117368,end_of_ATG
ENSDART00000101916,ensembl_GRCz11_latest,9,-1,22116637,start_of_STOP
ENSDART00000102075,ensembl_GRCz11_latest,19,-1,7272212,end_of_ATG
ENSDART00000102075,ensembl_GRCz11_latest,19,-1,7249834,start_of_STOP
ENSDART00000075187,ensembl_GRCz11_latest,14,1,33264734,end_of_ATG
ENSDART00000075187,ensembl_GRCz11_latest,14,1,33267763,start_of_STOP
