Gene stable ID,Gene stable ID version,Ensembl_ID,Transcript stable ID version,Ensembl Canonical,Gene type
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,1,protein_coding
ENSMUSG00000094789,ENSMUSG00000094789.8,ENSMUST00000190946,ENSMUST00000190946.7,1,protein_coding
ENSMUSG00000102388,ENSMUSG00000102388.6,ENSMUST00000195574,ENSMUST00000195574.2,1,protein_coding
ENSMUSG00000095263,ENSMUSG00000095263.8,ENSMUST00000189577,ENSMUST00000189577.7,1,protein_coding
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000188554,ENSMUST00000188554.7,1,protein_coding
ENSMUSG00000099530,ENSMUSG00000099530.2,ENSMUST00000189003,ENSMUST00000189003.2,1,protein_coding
ENSMUSG00000094052,ENSMUSG00000094052.3,ENSMUST00000187418,ENSMUST00000187418.2,1,protein_coding
ENSMUSG00000101725,ENSMUSG00000101725.7,ENSMUST00000189006,ENSMUST00000189006.7,1,protein_coding
ENSMUSG00000095011,ENSMUSG00000095011.8,ENSMUST00000187712,ENSMUST00000187712.7,1,protein_coding
ENSMUSG00000094616,ENSMUSG00000094616.8,ENSMUST00000186890,ENSMUST00000186890.7,1,protein_coding
ENSMUSG00000099531,ENSMUSG00000099531.2,ENSMUST00000188958,ENSMUST00000188958.2,1,protein_coding
ENSMUSG00000100535,ENSMUSG00000100535.2,ENSMUST00000189315,ENSMUST00000189315.2,1,protein_coding
ENSMUSG00000095793,ENSMUSG00000095793.8,ENSMUST00000186996,ENSMUST00000186996.7,1,protein_coding
ENSMUSG00000096902,ENSMUSG00000096902.8,ENSMUST00000191305,ENSMUST00000191305.7,1,protein_coding
ENSMUSG00000096650,ENSMUSG00000096650.8,ENSMUST00000188585,ENSMUST00000188585.7,1,protein_coding
ENSMUSG00000099782,ENSMUSG00000099782.2,ENSMUST00000189346,ENSMUST00000189346.2,1,protein_coding
ENSMUSG00000101933,ENSMUSG00000101933.2,ENSMUST00000185565,ENSMUST00000185565.2,1,protein_coding
ENSMUSG00000101528,ENSMUSG00000101528.2,ENSMUST00000189924,ENSMUST00000189924.2,1,protein_coding
ENSMUSG00000101157,ENSMUSG00000101157.2,ENSMUST00000190782,ENSMUST00000190782.2,1,protein_coding
ENSMUSG00000094507,ENSMUSG00000094507.2,ENSMUST00000179880,ENSMUST00000179880.2,1,protein_coding
ENSMUSG00000094575,ENSMUSG00000094575.3,ENSMUST00000177666,ENSMUST00000177666.3,1,protein_coding
ENSMUSG00000101146,ENSMUSG00000101146.2,ENSMUST00000190173,ENSMUST00000190173.2,1,protein_coding
ENSMUSG00000100902,ENSMUSG00000100902.2,ENSMUST00000188672,ENSMUST00000188672.2,1,protein_coding
ENSMUSG00000100892,ENSMUSG00000100892.2,ENSMUST00000185240,ENSMUST00000185240.2,1,protein_coding
ENSMUSG00000094404,ENSMUSG00000094404.2,ENSMUST00000177676,ENSMUST00000177676.2,1,protein_coding
ENSMUSG00000100708,ENSMUSG00000100708.2,ENSMUST00000189238,ENSMUST00000189238.2,1,protein_coding
ENSMUSG00000093895,ENSMUSG00000093895.8,ENSMUST00000191443,ENSMUST00000191443.7,1,protein_coding
ENSMUSG00000094354,ENSMUSG00000094354.2,ENSMUST00000178332,ENSMUST00000178332.2,1,protein_coding
ENSMUSG00000094647,ENSMUSG00000094647.8,ENSMUST00000190551,ENSMUST00000190551.7,1,protein_coding
ENSMUSG00000096898,ENSMUSG00000096898.3,ENSMUST00000190987,ENSMUST00000190987.2,1,protein_coding
ENSMUSG00000096885,ENSMUSG00000096885.2,ENSMUST00000177579,ENSMUST00000177579.2,1,protein_coding
ENSMUSG00000099792,ENSMUSG00000099792.2,ENSMUST00000185575,ENSMUST00000185575.2,1,protein_coding
ENSMUSG00000095452,ENSMUSG00000095452.3,ENSMUST00000190909,ENSMUST00000190909.2,1,protein_coding
ENSMUSG00000096120,ENSMUSG00000096120.2,ENSMUST00000178559,ENSMUST00000178559.2,1,protein_coding
ENSMUSG00000094739,ENSMUSG00000094739.3,ENSMUST00000190349,ENSMUST00000190349.2,1,protein_coding
ENSMUSG00000095867,ENSMUSG00000095867.3,ENSMUST00000188706,ENSMUST00000188706.2,1,protein_coding
ENSMUSG00000101471,ENSMUSG00000101471.2,ENSMUST00000190453,ENSMUST00000190453.2,1,protein_coding
ENSMUSG00000094746,ENSMUSG00000094746.8,ENSMUST00000185338,ENSMUST00000185338.7,1,protein_coding
ENSMUSG00000095578,ENSMUSG00000095578.8,ENSMUST00000187433,ENSMUST00000187433.7,1,protein_coding
ENSMUSG00000094181,ENSMUSG00000094181.8,ENSMUST00000188917,ENSMUST00000188917.7,1,protein_coding
ENSMUSG00000099740,ENSMUSG00000099740.2,ENSMUST00000185340,ENSMUST00000185340.2,1,protein_coding
ENSMUSG00000099894,ENSMUSG00000099894.2,ENSMUST00000187135,ENSMUST00000187135.2,1,protein_coding
ENSMUSG00000101286,ENSMUSG00000101286.2,ENSMUST00000185636,ENSMUST00000185636.2,1,protein_coding
ENSMUSG00000099925,ENSMUSG00000099925.2,ENSMUST00000187165,ENSMUST00000187165.2,1,protein_coding
ENSMUSG00000094782,ENSMUSG00000094782.8,ENSMUST00000188881,ENSMUST00000188881.7,1,protein_coding
ENSMUSG00000101653,ENSMUSG00000101653.2,ENSMUST00000189765,ENSMUST00000189765.2,1,protein_coding
ENSMUSG00000095153,ENSMUSG00000095153.8,ENSMUST00000185776,ENSMUST00000185776.7,1,protein_coding
ENSMUSG00000094660,ENSMUSG00000094660.3,ENSMUST00000189463,ENSMUST00000189463.2,1,protein_coding
ENSMUSG00000100972,ENSMUSG00000100972.2,ENSMUST00000185924,ENSMUST00000185924.2,1,protein_coding
ENSMUSG00000099840,ENSMUSG00000099840.2,ENSMUST00000186110,ENSMUST00000186110.2,1,protein_coding
ENSMUSG00000095979,ENSMUSG00000095979.8,ENSMUST00000189354,ENSMUST00000189354.7,1,protein_coding
ENSMUSG00000095650,ENSMUSG00000095650.3,ENSMUST00000181549,ENSMUST00000181549.2,1,protein_coding
ENSMUSG00000100338,ENSMUSG00000100338.3,ENSMUST00000187033,ENSMUST00000187033.3,1,protein_coding
ENSMUSG00000100240,ENSMUSG00000100240.2,ENSMUST00000188754,ENSMUST00000188754.2,1,protein_coding
ENSMUSG00000102122,ENSMUSG00000102122.2,ENSMUST00000185245,ENSMUST00000185245.2,1,protein_coding
ENSMUSG00000096769,ENSMUSG00000096769.8,ENSMUST00000185327,ENSMUST00000185327.7,1,protein_coding
ENSMUSG00000094399,ENSMUSG00000094399.8,ENSMUST00000189543,ENSMUST00000189543.7,1,protein_coding
ENSMUSG00000099856,ENSMUSG00000099856.2,ENSMUST00000186493,ENSMUST00000186493.2,1,protein_coding
ENSMUSG00000100485,ENSMUSG00000100485.2,ENSMUST00000187477,ENSMUST00000187477.2,1,protein_coding
ENSMUSG00000101915,ENSMUSG00000101915.2,ENSMUST00000187146,ENSMUST00000187146.2,1,protein_coding
ENSMUSG00000102045,ENSMUSG00000102045.2,ENSMUST00000186443,ENSMUST00000186443.2,1,protein_coding
ENSMUSG00000095606,ENSMUSG00000095606.8,ENSMUST00000191553,ENSMUST00000191553.7,1,protein_coding
ENSMUSG00000100608,ENSMUSG00000100608.2,ENSMUST00000188269,ENSMUST00000188269.2,1,protein_coding
ENSMUSG00000094729,ENSMUSG00000094729.3,ENSMUST00000187856,ENSMUST00000187856.2,1,protein_coding
ENSMUSG00000096178,ENSMUSG00000096178.8,ENSMUST00000190558,ENSMUST00000190558.7,1,protein_coding
ENSMUSG00000100045,ENSMUSG00000100045.2,ENSMUST00000186578,ENSMUST00000186578.2,1,protein_coding
ENSMUSG00000096850,ENSMUSG00000096850.2,ENSMUST00000179623,ENSMUST00000179623.2,1,protein_coding
ENSMUSG00000094570,ENSMUSG00000094570.8,ENSMUST00000187293,ENSMUST00000187293.7,1,protein_coding
ENSMUSG00000095135,ENSMUSG00000095135.8,ENSMUST00000185713,ENSMUST00000185713.7,1,protein_coding
ENSMUSG00000101155,ENSMUSG00000101155.7,ENSMUST00000190292,ENSMUST00000190292.2,1,protein_coding
ENSMUSG00000096122,ENSMUSG00000096122.3,ENSMUST00000178181,ENSMUST00000178181.3,1,protein_coding
ENSMUSG00000101399,ENSMUSG00000101399.2,ENSMUST00000190573,ENSMUST00000190573.2,1,protein_coding
ENSMUSG00000096626,ENSMUSG00000096626.8,ENSMUST00000190806,ENSMUST00000190806.7,1,protein_coding
ENSMUSG00000095141,ENSMUSG00000095141.8,ENSMUST00000189333,ENSMUST00000189333.7,1,protein_coding
ENSMUSG00000100667,ENSMUSG00000100667.2,ENSMUST00000188244,ENSMUST00000188244.2,1,protein_coding
ENSMUSG00000100726,ENSMUSG00000100726.2,ENSMUST00000189455,ENSMUST00000189455.2,1,protein_coding
ENSMUSG00000094821,ENSMUSG00000094821.8,ENSMUST00000186938,ENSMUST00000186938.7,1,protein_coding
ENSMUSG00000093950,ENSMUSG00000093950.3,ENSMUST00000179949,ENSMUST00000179949.3,1,protein_coding
ENSMUSG00000100856,ENSMUSG00000100856.2,ENSMUST00000187768,ENSMUST00000187768.2,1,protein_coding
ENSMUSG00000101766,ENSMUSG00000101766.2,ENSMUST00000186004,ENSMUST00000186004.2,1,protein_coding
ENSMUSG00000095785,ENSMUSG00000095785.3,ENSMUST00000186910,ENSMUST00000186910.2,1,protein_coding
ENSMUSG00000093993,ENSMUSG00000093993.8,ENSMUST00000185550,ENSMUST00000185550.7,1,protein_coding
ENSMUSG00000096666,ENSMUSG00000096666.3,ENSMUST00000188011,ENSMUST00000188011.2,1,protein_coding
ENSMUSG00000095302,ENSMUSG00000095302.3,ENSMUST00000190565,ENSMUST00000190565.2,1,protein_coding
ENSMUSG00000096016,ENSMUSG00000096016.8,ENSMUST00000189422,ENSMUST00000189422.7,1,protein_coding
ENSMUSG00000103528,ENSMUSG00000103528.2,ENSMUST00000192521,ENSMUST00000192521.2,1,protein_coding
ENSMUSG00000103919,ENSMUSG00000103919.2,ENSMUST00000192892,ENSMUST00000192892.2,1,protein_coding
ENSMUSG00000093868,ENSMUSG00000093868.3,ENSMUST00000187943,ENSMUST00000187943.2,1,protein_coding
ENSMUSG00000094911,ENSMUSG00000094911.2,ENSMUST00000180040,ENSMUST00000180040.2,1,protein_coding
ENSMUSG00000094939,ENSMUSG00000094939.2,ENSMUST00000179355,ENSMUST00000179355.2,1,protein_coding
ENSMUSG00000100055,ENSMUSG00000100055.2,ENSMUST00000189518,ENSMUST00000189518.2,1,protein_coding
ENSMUSG00000099541,ENSMUSG00000099541.2,ENSMUST00000188744,ENSMUST00000188744.2,1,protein_coding
ENSMUSG00000101158,ENSMUSG00000101158.2,ENSMUST00000188864,ENSMUST00000188864.2,1,protein_coding
ENSMUSG00000100467,ENSMUSG00000100467.2,ENSMUST00000185667,ENSMUST00000185667.2,1,protein_coding
ENSMUSG00000101667,ENSMUSG00000101667.2,ENSMUST00000188358,ENSMUST00000188358.2,1,protein_coding
ENSMUSG00000093918,ENSMUSG00000093918.8,ENSMUST00000189592,ENSMUST00000189592.7,1,protein_coding
ENSMUSG00000094511,ENSMUSG00000094511.8,ENSMUST00000186047,ENSMUST00000186047.7,1,protein_coding
ENSMUSG00000093987,ENSMUSG00000093987.8,ENSMUST00000187277,ENSMUST00000187277.7,1,protein_coding
ENSMUSG00000095948,ENSMUSG00000095948.8,ENSMUST00000190283,ENSMUST00000190283.7,1,protein_coding
ENSMUSG00000096520,ENSMUSG00000096520.8,ENSMUST00000186140,ENSMUST00000186140.7,1,protein_coding
ENSMUSG00000093927,ENSMUSG00000093927.3,ENSMUST00000188637,ENSMUST00000188637.2,1,protein_coding
ENSMUSG00000095693,ENSMUSG00000095693.2,ENSMUST00000179056,ENSMUST00000179056.2,1,protein_coding
ENSMUSG00000096706,ENSMUSG00000096706.3,ENSMUST00000190391,ENSMUST00000190391.2,1,protein_coding
ENSMUSG00000096268,ENSMUSG00000096268.3,ENSMUST00000188887,ENSMUST00000188887.2,1,protein_coding
ENSMUSG00000100634,ENSMUSG00000100634.2,ENSMUST00000190100,ENSMUST00000190100.2,1,protein_coding
ENSMUSG00000096036,ENSMUSG00000096036.3,ENSMUST00000185926,ENSMUST00000185926.2,1,protein_coding
ENSMUSG00000095148,ENSMUSG00000095148.3,ENSMUST00000187857,ENSMUST00000187857.2,1,protein_coding
ENSMUSG00000101243,ENSMUSG00000101243.2,ENSMUST00000190026,ENSMUST00000190026.2,1,protein_coding
ENSMUSG00000079806,ENSMUSG00000079806.3,ENSMUST00000189073,ENSMUST00000189073.2,1,protein_coding
ENSMUSG00000096686,ENSMUSG00000096686.3,ENSMUST00000190426,ENSMUST00000190426.2,1,protein_coding
ENSMUSG00000094484,ENSMUSG00000094484.3,ENSMUST00000189201,ENSMUST00000189201.2,1,protein_coding
ENSMUSG00000100939,ENSMUSG00000100939.2,ENSMUST00000186194,ENSMUST00000186194.2,1,protein_coding
ENSMUSG00000094081,ENSMUSG00000094081.3,ENSMUST00000185348,ENSMUST00000185348.2,1,protein_coding
ENSMUSG00000100645,ENSMUSG00000100645.2,ENSMUST00000189007,ENSMUST00000189007.2,1,protein_coding
ENSMUSG00000099861,ENSMUSG00000099861.2,ENSMUST00000185705,ENSMUST00000185705.2,1,protein_coding
ENSMUSG00000095324,ENSMUSG00000095324.3,ENSMUST00000178149,ENSMUST00000178149.3,1,protein_coding
ENSMUSG00000101928,ENSMUSG00000101928.2,ENSMUST00000186739,ENSMUST00000186739.2,1,protein_coding
ENSMUSG00000101053,ENSMUSG00000101053.2,ENSMUST00000115496,ENSMUST00000115496.4,1,protein_coding
ENSMUSG00000091077,ENSMUSG00000091077.4,ENSMUST00000171947,ENSMUST00000171947.3,1,protein_coding
ENSMUSG00000094679,ENSMUSG00000094679.3,ENSMUST00000189253,ENSMUST00000189253.2,1,protein_coding
ENSMUSG00000094773,ENSMUSG00000094773.3,ENSMUST00000188908,ENSMUST00000188908.2,1,protein_coding
ENSMUSG00000096223,ENSMUSG00000096223.3,ENSMUST00000190315,ENSMUST00000190315.2,1,protein_coding
ENSMUSG00000094556,ENSMUSG00000094556.3,ENSMUST00000179829,ENSMUST00000179829.3,1,protein_coding
ENSMUSG00000095032,ENSMUSG00000095032.3,ENSMUST00000189630,ENSMUST00000189630.2,1,protein_coding
ENSMUSG00000095242,ENSMUSG00000095242.3,ENSMUST00000185576,ENSMUST00000185576.2,1,protein_coding
ENSMUSG00000101396,ENSMUSG00000101396.2,ENSMUST00000190572,ENSMUST00000190572.2,1,protein_coding
ENSMUSG00000095950,ENSMUSG00000095950.3,ENSMUST00000187245,ENSMUST00000187245.2,1,protein_coding
ENSMUSG00000094813,ENSMUSG00000094813.3,ENSMUST00000187434,ENSMUST00000187434.2,1,protein_coding
ENSMUSG00000094838,ENSMUSG00000094838.3,ENSMUST00000190516,ENSMUST00000190516.2,1,protein_coding
ENSMUSG00000100231,ENSMUSG00000100231.2,ENSMUST00000187922,ENSMUST00000187922.2,1,protein_coding
ENSMUSG00000095508,ENSMUSG00000095508.3,ENSMUST00000189550,ENSMUST00000189550.2,1,protein_coding
ENSMUSG00000104267,ENSMUSG00000104267.2,ENSMUST00000194687,ENSMUST00000194687.2,1,protein_coding
ENSMUSG00000095769,ENSMUSG00000095769.2,ENSMUST00000179284,ENSMUST00000179284.2,1,protein_coding
ENSMUSG00000096820,ENSMUSG00000096820.3,ENSMUST00000195626,ENSMUST00000195626.2,1,protein_coding
ENSMUSG00000095759,ENSMUSG00000095759.2,ENSMUST00000178050,ENSMUST00000178050.2,1,protein_coding
ENSMUSG00000103468,ENSMUSG00000103468.2,ENSMUST00000192749,ENSMUST00000192749.2,1,protein_coding
ENSMUSG00000093903,ENSMUSG00000093903.7,ENSMUST00000192204,ENSMUST00000192204.2,1,protein_coding
ENSMUSG00000095462,ENSMUSG00000095462.2,ENSMUST00000178519,ENSMUST00000178519.2,1,protein_coding
ENSMUSG00000093883,ENSMUSG00000093883.2,ENSMUST00000178428,ENSMUST00000178428.2,1,protein_coding
ENSMUSG00000095900,ENSMUSG00000095900.3,ENSMUST00000193306,ENSMUST00000193306.2,1,protein_coding
ENSMUSG00000094227,ENSMUSG00000094227.2,ENSMUST00000178689,ENSMUST00000178689.2,1,protein_coding
ENSMUSG00000104191,ENSMUSG00000104191.2,ENSMUST00000192683,ENSMUST00000192683.2,1,protein_coding
ENSMUSG00000095172,ENSMUSG00000095172.3,ENSMUST00000188422,ENSMUST00000188422.2,1,protein_coding
ENSMUSG00000095520,ENSMUSG00000095520.3,ENSMUST00000191358,ENSMUST00000191358.2,1,protein_coding
ENSMUSG00000095365,ENSMUSG00000095365.4,ENSMUST00000179408,ENSMUST00000179408.3,1,protein_coding
ENSMUSG00000094161,ENSMUSG00000094161.2,ENSMUST00000179522,ENSMUST00000179522.2,1,protein_coding
ENSMUSG00000102739,ENSMUSG00000102739.2,ENSMUST00000188928,ENSMUST00000188928.3,1,protein_coding
ENSMUSG00000094325,ENSMUSG00000094325.8,ENSMUST00000194411,ENSMUST00000194411.2,1,protein_coding
ENSMUSG00000096819,ENSMUSG00000096819.2,ENSMUST00000179900,ENSMUST00000179900.2,1,protein_coding
ENSMUSG00000095879,ENSMUSG00000095879.2,ENSMUST00000179219,ENSMUST00000179219.2,1,protein_coding
ENSMUSG00000095267,ENSMUSG00000095267.3,ENSMUST00000186035,ENSMUST00000186035.2,1,protein_coding
ENSMUSG00000095927,ENSMUSG00000095927.2,ENSMUST00000179302,ENSMUST00000179302.2,1,protein_coding
ENSMUSG00000103371,ENSMUSG00000103371.2,ENSMUST00000194086,ENSMUST00000194086.2,1,protein_coding
ENSMUSG00000102668,ENSMUSG00000102668.2,ENSMUST00000191675,ENSMUST00000191675.2,1,protein_coding
ENSMUSG00000094294,ENSMUSG00000094294.3,ENSMUST00000181205,ENSMUST00000181205.2,1,protein_coding
ENSMUSG00000093848,ENSMUSG00000093848.3,ENSMUST00000181163,ENSMUST00000181163.2,1,protein_coding
ENSMUSG00000053211,ENSMUSG00000053211.11,ENSMUST00000189888,ENSMUST00000189888.7,1,protein_coding
ENSMUSG00000069053,ENSMUSG00000069053.12,ENSMUST00000115894,ENSMUST00000115894.3,1,protein_coding
ENSMUSG00000056673,ENSMUSG00000056673.15,ENSMUST00000055032,ENSMUST00000055032.14,1,protein_coding
ENSMUSG00000069049,ENSMUSG00000069049.12,ENSMUST00000091197,ENSMUST00000091197.4,1,protein_coding
ENSMUSG00000068457,ENSMUSG00000068457.15,ENSMUST00000069309,ENSMUST00000069309.14,1,protein_coding
ENSMUSG00000069045,ENSMUSG00000069045.12,ENSMUST00000091190,ENSMUST00000091190.12,1,protein_coding
ENSMUSG00000069044,ENSMUSG00000069044.7,ENSMUST00000091188,ENSMUST00000091188.7,1,protein_coding
ENSMUSG00000000103,ENSMUSG00000000103.13,ENSMUST00000187148,ENSMUST00000187148.7,1,protein_coding
ENSMUSG00000094881,ENSMUSG00000094881.4,ENSMUST00000163651,ENSMUST00000163651.2,1,protein_coding
ENSMUSG00000069036,ENSMUSG00000069036.4,ENSMUST00000091178,ENSMUST00000091178.2,1,protein_coding
ENSMUSG00000095573,ENSMUSG00000095573.4,ENSMUST00000168551,ENSMUST00000168551.2,1,protein_coding
ENSMUSG00000102053,ENSMUSG00000102053.2,ENSMUST00000187482,ENSMUST00000187482.2,1,protein_coding
ENSMUSG00000094658,ENSMUSG00000094658.8,ENSMUST00000100360,ENSMUST00000100360.5,1,protein_coding
ENSMUSG00000095852,ENSMUSG00000095852.8,ENSMUST00000188114,ENSMUST00000188114.2,1,protein_coding
ENSMUSG00000091987,ENSMUSG00000091987.9,ENSMUST00000187842,ENSMUST00000187842.7,1,protein_coding
ENSMUSG00000047161,ENSMUSG00000047161.13,ENSMUST00000053017,ENSMUST00000053017.13,1,protein_coding
ENSMUSG00000024304,ENSMUSG00000024304.15,ENSMUST00000025166,ENSMUST00000025166.14,1,protein_coding
ENSMUSG00000048799,ENSMUSG00000048799.9,ENSMUST00000049811,ENSMUST00000049811.8,1,protein_coding
